,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
17,25497,The Republican candidate,The Republican candidate,Male,Other,60-64,Black 60+,22,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,Black,West,Suburbs,Other,Version 2,.915585100650787,Black men,Non-white,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Other Christian,No group is favored,Immigration,Not too important
18,25498,The Republican candidate,The Republican candidate,Male,Other,50-59,White 45-59,22,Associate's degree (AA or AS),No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 2,.431478202342987,White men,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,Gun policy,Not at all important
19,25499,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,.429174810647964,White women,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
20,25500,The Democratic candidate,The Democratic candidate,Male,,40-44,White 30-44,47,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,.841432750225067,White men,White,California,Omit,Major changes,Yes,Approve,Justified,Too tough,Catholic,No group is favored,The economy,Very important
21,25501,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,47,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,West,"Cities 50,000-500,000",Other,Version 2,2.95017766952515,Latino women,Non-white,California,Unfavorable,Minor changes,Yes,Disapprove,Politically motivated,Too tough,Other Christian,Whites are favored over minorities,Immigration,Very important
22,25502,The Democratic candidate,,Female,,18-24,White 18-29,28,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 2,.825609922409058,White women,White,California,Omit,Major changes,Yes,Omit,Justified,Too tough,Other Christian,Whites are favored over minorities,Gun policy,Very important
24,25504,The Democratic candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,"Cities 50,000-500,000",Other,Version 2,.454204797744751,White men,White,California,Unfavorable,Minor changes,No,Omit,Politically motivated,Not tough enough,None,Minorities are favored over whites,Immigration,Very important
25,25505,The Republican candidate,The Republican candidate,Male,Other,30-39,White 30-44,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 2,2.43756723403931,White men,White,California,Unfavorable,Major changes,No,Approve,Politically motivated,Not tough enough,Other Christian,Minorities are favored over whites,Health care,Omit
26,25506,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,White 45-59,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Rural,Other,Version 2,.839741826057434,White men,White,California,Unfavorable,Major changes,Yes,Approve,Justified,Too tough,Other,Whites are favored over minorities,Health care,Very important
27,25507,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,White 30-44,28,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 2,1.12256610393524,White men,White,California,Favorable,Major changes,No,Disapprove,Politically motivated,Too tough,Catholic,No group is favored,The economy,Very important
28,25508,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,Latino 60+,46,Bachelor's degree (BA or BS),Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Hispanic/Latino,West,Suburbs,Other,Version 2,2.80318355560303,Latino women,Non-white,California,Omit,Major changes,Yes,Approve,Justified,Too tough,Protestant,No group is favored,Health care,Somewhat important
29,25509,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,Latino 45-59,5,Attended college but received no degree,Yes,Latino Independent,Something else,Independent Men,Liberal,Liberal Independents,Hispanic/Latino,West,"Cities 50,000-500,000",Other,Version 2,1.40792179107666,Latino men,Non-white,California,Favorable,Major changes,No,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Health care,Very important
31,25511,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,All others,30,Associate's degree (AA or AS),No,All Other,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Asian,West,Suburbs,Other,Version 2,4.14828872680664,All other races,Non-white,California,Favorable,Major changes,Yes,Disapprove,Politically motivated,Too tough,Other,No group is favored,Immigration,Very important
32,25512,The Republican candidate,The Republican candidate,Male,,60-64,White 60+,36,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 2,.763216555118561,White men,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Catholic,No group is favored,Immigration,Not at all important
33,25513,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,White 18-29,13,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,1.61880028247833,White women,White,California,Omit,Major changes,Yes,Approve,Politically motivated,Too tough,None,Whites are favored over minorities,Immigration,Very important
34,25514,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,22,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities over 500,000",Other,Version 2,.177778646349907,White men,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
36,25516,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,18,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,West,"Cities 50,000-500,000",Other,Version 2,1.25169205665588,White women,White,California,Favorable,Minor changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Somewhat important
37,25517,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,10,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 2,.201146647334099,White women,White,California,Unfavorable,No changes at all,No,Approve,Justified,About right,Protestant,No group is favored,Immigration,Not at all important
38,25518,The Republican candidate,The Republican candidate,Female,The Democratic candidate,50-59,White 45-59,4,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 2,3.21953272819519,White women,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,Minorities are favored over whites,Immigration,Not too important
39,25519,The Republican candidate,The Republican candidate,Male,Other,65 or over,White 60+,1,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 2,.509727001190186,White men,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,Minorities are favored over whites,The economy,Not too important
40,25520,The Republican candidate,The Republican candidate,Male,Other,65 or over,White 60+,8,Attended college but received no degree,No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 2,1.01945471763611,White men,White,California,Unfavorable,No changes at all,No,Omit,Politically motivated,About right,Other Christian,No group is favored,Health care,Very important
41,25521,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,5,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,.454204797744751,White men,White,California,Favorable,Major changes,No,Approve,Justified,Omit,Protestant,No group is favored,Health care,Very important
42,25522,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,1,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,.740323543548584,White women,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Immigration,Very important
43,25523,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,Black 45-59,37,Associate's degree (AA or AS),No,Black Independent,Independent,Independent Men,Moderate,Moderate Independents,Black,West,"Cities over 500,000",Other,Version 2,1.02334249019623,Black men,Non-white,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Other Christian,Whites are favored over minorities,Health care,Very important
45,25525,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,All others,10,Attended college but received no degree,No,All Other,Democrat,Democratic Men,Liberal,Liberal Democrats,Asian,West,Suburbs,Other,Version 2,3.82397294044495,All other races,Non-white,California,Unfavorable,Major changes,No,Approve,Justified,Too tough,Muslim,Whites are favored over minorities,Health care,Very important
46,25526,The Democratic candidate,The Democratic candidate,Male,,65 or over,White 60+,7,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 2,.71157568693161,White men,White,California,Favorable,Omit,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,The economy,Very important
47,25527,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,14,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities over 500,000",Other,Version 2,.831379055976868,White men,White,California,Favorable,Major changes,Omit,Approve,Justified,Too tough,Other,Whites are favored over minorities,Health care,Very important
48,25528,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,24,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 2,.481976836919785,White women,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Catholic,No group is favored,Health care,Very important
49,25529,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,51,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Something else,Independent Women,Liberal,Liberal Independents,White,West,"Cities over 500,000",Other,Version 2,1.17327523231506,White women,White,California,Favorable,Major changes,Yes,Omit,Justified,Too tough,Catholic,Whites are favored over minorities,Immigration,Very important
50,25530,The Democratic candidate,Other,Male,The Democratic candidate,45-49,White 45-59,7,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,West,Suburbs,White suburban men,Version 2,2.07198405265808,White men,White,California,Unfavorable,Major changes,No,Approve,Justified,Too tough,Catholic,No group is favored,The economy,Not too important
51,25531,The Democratic candidate,The Democratic candidate,Female,Other,65 or over,All others,8,Attended college but received no degree,No,All Other,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Other,West,Suburbs,Other,Version 2,.558966755867004,All other races,Non-white,California,Omit,Major changes,Yes,Omit,Politically motivated,Omit,Other Christian,No group is favored,Omit,Omit
52,25532,The Republican candidate,The Republican candidate,Female,,40-44,Latino 30-44,35,Bachelor's degree (BA or BS),Yes,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,Hispanic/Latino,West,Suburbs,Other,Version 2,1.32977735996246,Latino women,Non-white,California,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Other,Minorities are favored over whites,The economy,Not at all important
53,25533,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,36,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 2,.243483707308769,White men,White,California,Favorable,Minor changes,No,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
54,25534,The Republican candidate,The Republican candidate,Female,,65 or over,White 60+,5,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,West,"Cities 50,000-500,000",Other,Version 2,.639669954776764,White women,White,California,Unfavorable,Major changes,No,Omit,Politically motivated,About right,Protestant,Minorities are favored over whites,Omit,Omit
55,25535,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,49,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 2,.991311490535736,White men,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,Immigration,Not too important
56,25536,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 2,.243483707308769,White men,White,California,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,None,No group is favored,Immigration,Not at all important
58,25538,The Republican candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,50,Never attended college,No,White Independent,Something else,Independent Women,Moderate,Moderate Independents,White,West,Suburbs,White suburban women,Version 2,12.7076597213745,White women,White,California,Favorable,Major changes,No,Disapprove,Politically motivated,About right,None,No group is favored,Immigration,Very important
60,25540,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,1,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Rural,Other,Version 2,.559346675872803,White men,White,California,Favorable,Major changes,No,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Somewhat important
62,25542,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 2,1.53788959980011,White women,White,California,Unfavorable,Major changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,The economy,Very important
63,25543,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,30,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 2,1.17125046253204,White women,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Jewish,Whites are favored over minorities,Health care,Very important
64,25544,Other,,Female,,45-49,White 45-59,16,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 2,1.28230762481689,White women,White,California,Omit,Major changes,No,Disapprove,Politically motivated,About right,Catholic,Minorities are favored over whites,The economy,Not at all important
65,25545,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,36,Never attended college,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban men,Version 2,4.40726709365845,White men,White,California,Favorable,Minor changes,Yes,Approve,Justified,Too tough,Other Christian,Whites are favored over minorities,Health care,Very important
67,25547,The Republican candidate,The Republican candidate,Male,The Democratic candidate,50-59,White 45-59,38,Never attended college,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 2,1.95985221862793,White men,White,California,Omit,Minor changes,No,Disapprove,Justified,Not tough enough,None,Minorities are favored over whites,Immigration,Not at all important
68,25548,The Republican candidate,The Republican candidate,Male,Other,45-49,White 45-59,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 2,4.29137182235718,White men,White,California,Unfavorable,Minor changes,No,Disapprove,Politically motivated,Not tough enough,Other Christian,Minorities are favored over whites,Immigration,Not at all important
69,25549,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,1,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Rural,Other,Version 2,.493836998939514,White women,White,California,Favorable,Major changes,Yes,Approve,Justified,Omit,None,Whites are favored over minorities,Omit,Somewhat important
70,25550,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,Black 60+,41,Bachelor's degree (BA or BS),No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,West,Suburbs,Other,Version 2,.665702283382416,Black women,Non-white,California,Favorable,No changes at all,No,Approve,Omit,About right,Jewish,Minorities are favored over whites,The economy,Very important
71,25551,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,25,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 2,3.00283455848694,White women,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Health care,Somewhat important
72,25552,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,11,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,.67559152841568,White women,White,California,Favorable,Major changes,No,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
74,25554,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,Latino 60+,22,Bachelor's degree (BA or BS),Yes,Latino Independent,Independent,Independent Women,Moderate,Moderate Independents,Other,West,"Cities over 500,000",Other,Version 2,.98196941614151,Latino women,Non-white,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,No group is favored,Health care,Somewhat important
76,25556,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,7,Never attended college,No,White Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,1.4661717414856,White women,White,California,Favorable,Minor changes,Yes,Approve,Justified,Too tough,Protestant,No group is favored,Gun policy,Not at all important
78,25558,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,33,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 2,1.07310450077057,White women,White,California,Favorable,Minor changes,No,Approve,Justified,Too tough,Other Christian,No group is favored,Gun policy,Very important
79,25559,The Republican candidate,The Republican candidate,Female,Other,60-64,White 60+,29,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 2,2.35650658607483,White women,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,Omit,Protestant,Minorities are favored over whites,Immigration,Omit
80,25560,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,53,Never attended college,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban men,Version 2,5.2805552482605,White men,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Omit,The economy,Somewhat important
81,25561,The Republican candidate,The Democratic candidate,Female,The Democratic candidate,60-64,All others,45,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,American Indian,West,Suburbs,Other,Version 2,5.3181095123291,All other races,Non-white,California,Unfavorable,Major changes,Yes,Disapprove,Omit,Too tough,Other,Minorities are favored over whites,Health care,Very important
82,25562,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Rural,Other,Version 2,.454204797744751,White men,White,California,Favorable,Minor changes,Yes,Approve,Justified,Too tough,Jewish,No group is favored,Health care,Somewhat important
83,25563,The Democratic candidate,,Male,The Democratic candidate,65 or over,Latino 60+,12,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Independent,Independent,Independent Men,Liberal,Liberal Independents,Hispanic/Latino,West,"Cities over 500,000",Other,Version 2,.308390229940414,Latino men,Non-white,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Gun policy,Very important
84,25564,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,.243483707308769,White men,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Health care,Very important
85,25565,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,Latino 45-59,13,Associate's degree (AA or AS),Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,West,"Cities 50,000-500,000",Other,Version 2,1.37409019470215,Latino women,Non-white,California,Favorable,No changes at all,Omit,Approve,Politically motivated,Too tough,Catholic,Whites are favored over minorities,The economy,Very important
