,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ATTEND16,ATTREL,BOYSGIRLS,BRNAGAIN,CHILD18,CHILDBOY,CHILDGIRL,ISSUE18,MARRIED,PARENTS,TRUMP4,WOMEN,HEALTHPRE18,GUN16,SEXUALHARASS,SEXWED,GUNOWNER12,RELIGN18
319,25799,The Democratic candidate,The Republican candidate,Male,The Democratic candidate,50-59,Latino 45-59,22,Attended college but received no degree,Yes,Latino Independent,Independent,Independent Men,Conservative,Conservative Independents,Hispanic/Latino,West,Suburbs,Other,Version 3,.754738867282867,Latino men,Non-white,California,A few times a year,All others,No children in home,Yes,No,No,No,The economy,No,Men without children,Somewhat approve,Very important,Omit,Oppose,Not too serious,Non married men,No,Other Christian
320,25800,The Republican candidate,The Republican candidate,Male,The Democratic candidate,40-44,White 30-44,30,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,.880189180374146,White men,White,California,A few times a month,Catholic/Do not attend weekly,No children in home,Yes,No,No,No,Immigration,No,Men without children,Strongly approve,Not too important,The Republican Party,Oppose,Not too serious,Non married men,No,Catholic
321,25801,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,30,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,.256297260522842,White women,White,California,Never,All others,No children in home,No,No,No,No,Health care,Yes,Women without children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Married women,Yes,Other
323,25803,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,Latino 60+,48,Attended college but received no degree,Yes,Latino Independent,Independent,Independent Women,Moderate,Moderate Independents,Hispanic/Latino,West,Suburbs,Other,Version 3,2.92246103286743,Latino women,Non-white,California,A few times a month,All others,No children in home,Yes,No,No,No,Health care,Yes,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married women,No,None
324,25804,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,20,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 3,1.04342901706696,White men,White,California,Never,All others,No children in home,No,No,No,No,The economy,Yes,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married men,No,None
325,25805,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Latino 18-29,12,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,West,"Cities over 500,000",Other,Version 3,2.62309527397156,Latino women,Non-white,California,Once a week or more,All others,No children in home,Yes,No,No,No,Immigration,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Not too serious,Non married women,No,Muslim
326,25806,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,14,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,West,Suburbs,Other,Version 3,5.00188779830933,Latino women,Non-white,California,Never,All others,"Yes, only boys",No,Yes,Yes,No,Health care,Yes,Women with children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married women,Yes,None
327,25807,The Republican candidate,The Republican candidate,Male,Other,30-39,White 30-44,6,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,2.04096031188965,White men,White,California,Never,All others,"Yes, both boys and girls",No,Yes,Yes,Yes,Immigration,Yes,Men with children,Strongly approve,Not at all important,The Republican Party,Oppose,Not at all serious,Married men,No,None
329,25809,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,25-29,White 18-29,30,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,5.57375383377075,White women,White,California,A few times a year,All others,No children in home,No,No,No,No,Health care,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married women,Yes,Jewish
330,25810,The Republican candidate,The Republican candidate,Female,,18-24,All others,25,Associate's degree (AA or AS),No,All Other,Something else,Independent Women,Moderate,Moderate Independents,Asian,West,Suburbs,Other,Version 3,4.44424343109131,All other races,Non-white,California,A few times a month,Protestant/Do not attend weekly,No children in home,No,No,No,No,Immigration,No,Women without children,Strongly disapprove,Somewhat important,Omit,Support,Very serious,Non married women,Yes,Protestant
331,25811,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,White 45-59,53,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,1.39314126968384,White women,White,California,Never,All others,"Yes, only girls",No,Yes,No,Yes,Gun policy,Yes,Women with children,Somewhat disapprove,Very important,The Democratic Party,Support,Very serious,Married women,No,None
333,25813,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,4,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,West,Suburbs,White suburban women,Version 3,.685810983181,White women,White,California,Once a week or more,Protestant/Attend weekly,No children in home,Yes,No,No,No,Immigration,Yes,Women without children,Somewhat approve,Somewhat important,The Republican Party,Support,Very serious,Married women,Yes,Protestant
334,25814,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,5,Never attended college,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 3,2.73505902290344,White women,White,California,Never,Catholic/Do not attend weekly,No children in home,Yes,No,No,No,Omit,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married women,No,Catholic
335,25815,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,3,Attended college but received no degree,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,West,Suburbs,White suburban women,Version 3,.787801325321198,White women,White,California,Never,All others,No children in home,No,No,No,No,The economy,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Oppose,Somewhat serious,Non married women,Yes,None
336,25816,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,10,Associate's degree (AA or AS),No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 3,.404452800750732,White men,White,California,Once a week or more,All others,No children in home,Yes,No,No,No,Immigration,Yes,Men without children,Somewhat approve,Not too important,The Republican Party,Oppose,Not too serious,Married men,Yes,Other Christian
337,25817,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,13,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 3,2.41654086112976,White women,White,California,A few times a year,All others,No children in home,No,No,No,No,Health care,Yes,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married women,No,Jewish
338,25818,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Latino 60+,52,Never attended college,Yes,Latino Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Hispanic/Latino,West,"Cities over 500,000",Other,Version 3,8.37721347808838,Latino men,Non-white,California,Once a week or more,Catholic/Attend weekly,No children in home,Yes,No,No,No,The economy,Yes,Men without children,Omit,Very important,Omit,Support,Omit,Married men,No,Catholic
340,25820,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,53,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 3,.991311490535736,White men,White,California,Never,All others,No children in home,No,No,No,No,Health care,Yes,Men without children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Married men,No,None
341,25821,The Republican candidate,The Republican candidate,Male,Other,65 or over,White 60+,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,"Cities 50,000-500,000",Other,Version 3,.486967802047729,White men,White,California,Once a week or more,Protestant/Attend weekly,No children in home,Yes,No,No,No,Omit,Yes,Men without children,Strongly approve,Somewhat important,The Republican Party,Oppose,Not at all serious,Married men,Yes,Protestant
343,25823,The Republican candidate,The Republican candidate,Female,Other,65 or over,Latino 60+,26,Associate's degree (AA or AS),Yes,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,Hispanic/Latino,West,"Cities 50,000-500,000",Other,Version 3,.63597571849823,Latino women,Non-white,California,Once a week or more,Catholic/Attend weekly,No children in home,No,No,No,No,Immigration,Yes,Women without children,Strongly approve,Somewhat important,The Republican Party,Support,Somewhat serious,Married women,No,Catholic
344,25824,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,11,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban men,Version 3,1.881272315979,White men,White,California,A few times a year,Protestant/Do not attend weekly,No children in home,No,No,No,No,Health care,Yes,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Married men,No,Protestant
345,25825,The Republican candidate,The Republican candidate,Female,Other,50-59,All others,1,Attended college but received no degree,No,All Other,Independent,Independent Women,Moderate,Moderate Independents,Other,West,Suburbs,Other,Version 3,.908111810684204,All other races,Non-white,California,A few times a month,All others,No children in home,Yes,No,No,No,The economy,Yes,Women without children,Somewhat approve,Somewhat important,The Republican Party,Oppose,Somewhat serious,Married women,Yes,None
346,25826,The Republican candidate,,Female,The Democratic candidate,65 or over,White 60+,17,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 3,1.05192065238953,White women,White,California,A few times a year,Catholic/Do not attend weekly,No children in home,No,No,No,No,Immigration,Yes,Women without children,Somewhat approve,Somewhat important,The Republican Party,Support,Somewhat serious,Married women,No,Catholic
348,25828,The Republican candidate,The Republican candidate,Female,,65 or over,White 60+,4,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,Rural,Other,Version 3,.740323543548584,White women,White,California,Never,Protestant/Do not attend weekly,No children in home,No,No,No,No,Immigration,Yes,Women without children,Strongly approve,Not at all important,The Republican Party,Oppose,Not too serious,Married women,Yes,Protestant
350,25830,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,All others,27,Bachelor's degree (BA or BS),No,All Other,Democrat,Democratic Women,Liberal,Liberal Democrats,Asian,West,Suburbs,Other,Version 3,11.5830640792847,All other races,Non-white,California,A few times a year,All others,"Yes, only boys",No,Yes,Yes,No,Gun policy,Yes,Women with children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married women,No,Other
354,25834,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,14,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,.930316269397736,White men,White,California,Never,All others,No children in home,No,No,No,No,Immigration,No,Men without children,Strongly approve,Not at all important,The Republican Party,Omit,Very serious,Non married men,No,None
355,25835,The Republican candidate,The Republican candidate,Male,Other,65 or over,White 60+,20,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,2.56577634811401,White men,White,California,Once a week or more,Protestant/Attend weekly,No children in home,Yes,No,No,No,Immigration,Yes,Men without children,Strongly approve,Omit,The Republican Party,Oppose,Not too serious,Married men,No,Protestant
356,25836,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban women,Version 3,.625845491886139,White women,White,California,A few times a month,All others,No children in home,No,No,No,No,Health care,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Not too serious,Non married women,No,Other
357,25837,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,48,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,.586637139320374,White women,White,California,A few times a month,Catholic/Do not attend weekly,No children in home,No,No,No,No,Gun policy,Yes,Women without children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Married women,No,Catholic
358,25838,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,18,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,West,Suburbs,White suburban men,Version 3,.444388568401337,White men,White,California,A few times a month,Protestant/Do not attend weekly,No children in home,No,No,No,No,Health care,No,Men without children,Strongly disapprove,Somewhat important,The Democratic Party,Oppose,Somewhat serious,Non married men,Yes,Protestant
359,25839,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,White 45-59,7,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban women,Version 3,1.63487696647644,White women,White,California,Never,All others,"Yes, only girls",No,Yes,No,Yes,Gun policy,Yes,Women with children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Married women,No,None
360,25840,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,15,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 3,.592864334583282,White men,White,California,Never,All others,No children in home,No,No,No,No,Health care,Yes,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married men,No,None
361,25841,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,53,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 3,.495655357837677,White men,White,California,A few times a year,All others,No children in home,No,No,No,No,Health care,No,Men without children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Non married men,No,Other Christian
362,25842,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Latino 60+,14,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Hispanic/Latino,West,"Cities over 500,000",Other,Version 3,.693082630634308,Latino men,Non-white,California,Never,Protestant/Do not attend weekly,No children in home,No,No,No,No,Health care,No,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Non married men,No,Protestant
363,25843,The Republican candidate,The Republican candidate,Male,Other,50-59,White 45-59,3,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,1.81347644329071,White men,White,California,Once a week or more,Protestant/Attend weekly,No children in home,Yes,No,No,No,Health care,Yes,Men without children,Somewhat approve,Not too important,The Democratic Party,Oppose,Somewhat serious,Married men,No,Protestant
364,25844,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,14,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,"Cities over 500,000",Other,Version 3,8.18997001647949,White men,White,California,Never,All others,No children in home,No,No,No,No,Health care,No,Men without children,Strongly disapprove,Very important,The Democratic Party,Omit,Very serious,Non married men,Yes,Other Christian
365,25845,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,6,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,West,"Cities 50,000-500,000",Other,Version 3,.288177222013474,White women,White,California,Once a week or more,Protestant/Attend weekly,No children in home,No,No,No,No,Immigration,Yes,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Married women,No,Protestant
366,25846,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,7,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 3,1.21996796131134,White women,White,California,A few times a year,Catholic/Do not attend weekly,No children in home,No,No,No,No,Health care,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married women,No,Catholic
368,25848,The Democratic candidate,,Male,,40-44,All others,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,Asian,West,Suburbs,Other,Version 3,2.85559391975403,All other races,Non-white,California,A few times a year,All others,"Yes, both boys and girls",No,Yes,Yes,Yes,Health care,Yes,Men with children,Omit,Somewhat important,The Democratic Party,Support,Not too serious,Married men,No,Other
371,25851,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,21,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,.312752962112427,White men,White,California,Never,All others,No children in home,No,No,No,No,Health care,No,Men without children,Somewhat disapprove,Not too important,The Republican Party,Oppose,Not at all serious,Non married men,Yes,None
372,25852,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,4,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,.576354920864105,White women,White,California,Never,All others,No children in home,No,No,No,No,Health care,Yes,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Married women,No,None
373,25853,The Republican candidate,The Republican candidate,Male,The Democratic candidate,50-59,White 45-59,45,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 3,1.13254451751709,White men,White,California,A few times a year,Protestant/Do not attend weekly,No children in home,No,No,No,No,Immigration,No,Men without children,Somewhat approve,Not too important,The Republican Party,Oppose,Not too serious,Non married men,No,Protestant
374,25854,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,All others,12,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,Asian,West,"Cities over 500,000",Other,Version 3,16.0295829772949,All other races,Non-white,California,Never,All others,No children in home,No,No,No,No,Health care,Yes,Men without children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Very serious,Married men,Yes,None
375,25855,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,7,Attended college but received no degree,No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,West,Suburbs,White suburban men,Version 3,1.52918183803558,White men,White,California,A few times a year,Catholic/Do not attend weekly,No children in home,No,No,No,No,Health care,Yes,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Married men,No,Catholic
376,25856,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,3,Never attended college,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,1.4661717414856,White women,White,California,A few times a year,All others,No children in home,No,No,No,No,Health care,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Non married women,No,Other Christian
377,25857,The Republican candidate,The Republican candidate,Female,Other,45-49,White 45-59,48,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 3,2.05655336380005,White women,White,California,A few times a year,Protestant/Do not attend weekly,No children in home,Yes,No,No,No,Immigration,No,Women without children,Strongly approve,Not too important,The Republican Party,Oppose,Very serious,Non married women,No,Protestant
381,25861,Other,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,12,Never attended college,No,White Independent,Something else,Independent Women,Liberal,Liberal Independents,White,West,"Cities over 500,000",Other,Version 3,2.67594885826111,White women,White,California,Never,All others,No children in home,Yes,No,No,No,Health care,No,Women without children,Somewhat approve,Not too important,Omit,Omit,Somewhat serious,Non married women,No,Muslim
383,25863,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,1,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 3,1.01945471763611,White men,White,California,Once a week or more,All others,No children in home,Yes,No,No,No,Health care,No,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married men,Yes,Other Christian
