ID,SENIN18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRAUNLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,DONNELLYLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBRAUN,FAVDEM2,FAVDONNELLY,FAVMCONL,FAVPARTY,FAVPELOSI,FAVPENCE,FAVREP2,FAVSENIN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVIN18,KAVIN18A,KAVIN18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN_1,TIME18SENMONTH_1,TIME18SENWEEK_1,TIME18SEN_2,TRADE18,TRADEBRAUN,TRADEDONNELLY,TRADEIN18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
6749,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,4, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,No,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Democratic candidate,Female,White women, , ,Non married women,Rural,Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Didn't vote,.664546608924866,No,All others, , 
6750,Lucy Brenton, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No, ,3, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , , , , , , , ,Health care, , , ,No,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Justified,Other,Female,White women, , ,Married women,Rural,Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,In October, ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1, ,Hillary Clinton,1.29490435123444,No,All others, , 
6751,Other, ,65+,60+,65 or over,45+,50+,60+,65+, , , ,Complete, ,No, ,4, , , ,Never attended college,No college degree,High school graduate or less, , , , , , , , , , , , , , ,2, ,Omit, , , , , , , , ,Omit, , , ,No,No,Good,Excellent or good,45+,65+,Independent/Something else, , ,Independent men,Independent,Independent Men, ,Conservative, ,Moderate/Liberal Republicans,Conservative Independents, , ,State questionnaire, , , , ,Midwest,Omit,Other,Male, , , ,Non married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,No impact,Telephone survey, , , ,Don't know/refused, ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,0, ,All others, , 
6752,Joe Donnelly, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,6, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Health care, , , ,No,No,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Liberal, ,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Non married women,Rural,Small Cities/Rural,Indiana,Other,Hurt,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat disapprove,Strongly disapprove,Omit,Version 1, ,Hillary Clinton,.799394309520721,No,All others, , 
6753,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No, ,4, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal, ,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men, , ,Married men,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Omit,Omit,Omit,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.779695272445679,No,All others, , 
6754,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,5, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Excellent,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Telephone survey, , , ,In October, ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,2.16057348251343,No,All others, , 
6755,Joe Donnelly, , , , , , , , , , , ,Complete, ,No, ,5, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,3, ,Minor changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Excellent,Excellent or good, , ,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men, , ,Married men,"Cities over 500,000","Cities over 50,000",Indiana,Other,Hurt,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.683882415294647,No,All others, , 
6756,Joe Donnelly, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,6, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care, , , ,No,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal, ,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Non married women,Rural,Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.664546608924866,No,All others, , 
6757,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No, ,5, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",The economy, , , ,No,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Democratic candidate,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,Helped,Telephone survey, , , ,In October, ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1, ,Donald Trump,.775922298431396,No,All others, , 
6758,Joe Donnelly, ,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,No, ,7, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,3, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Democratic candidate,Male,White men, , ,Married men,"Cities over 500,000","Cities over 50,000",Indiana,Other,Helped,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1, ,Hillary Clinton,.300533652305603,No,All others, , 
6759,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,8, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,Helped,Telephone survey, , , ,In October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,2.678382396698,No,White Born-again/Evangelical Christians, , 
6760,Mike Braun, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,4, , , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration, , , ,No,No,Omit,Omit,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Non married women,Rural,Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,1.10525405406952,Yes,White Born-again/Evangelical Christians, , 
6761,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , , ,2, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration, , , ,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Married women,Rural,Small Cities/Rural,Indiana,Other,Helped,Telephone survey, , , ,Before October, ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,2.51507210731506,No,All others, , 
6762,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,9, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,5, ,Minor changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy, , , ,No,Yes,Good,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate, ,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Telephone survey, , , ,In October, ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,1.53513741493225,No,All others, , 
6763,Joe Donnelly, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,5, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Minor changes, , , , , , , , ,The economy, , , ,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,No impact,Telephone survey, , , ,Before October, ,Trust Mike Braun,Trust Joe Donnelly,Both of them,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1, ,Other,.775922298431396,No,All others, , 
