,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
116,25596,1,1.0,1,1.0,6,3,12,4,2.0,2,1,1,1,5,1,1,3,3,Version 4,1.05248332023621,1,1,4,2,1,2,2,2,2,5.0,2.0,2.0,2,3,3,3
118,25598,2,2.0,1,1.0,3,10,35,5,1.0,7,3,3,1,4,3,1,1,3,Version 4,1.20004570484161,5,2,4,1,2,1,1,1,2,4.0,4.0,2.0,2,1,4,3
119,25599,2,2.0,2,,8,4,48,3,2.0,1,2,6,3,1,1,1,1,2,Version 4,.493770092725754,2,1,4,1,2,1,1,1,2,3.0,2.0,2.0,1,1,2,3
120,25600,1,1.0,1,1.0,3,10,30,5,1.0,6,1,1,1,5,3,1,1,3,Version 4,1.06728899478912,5,2,4,2,1,4,1,2,2,3.0,4.0,2.0,3,3,2,3
121,25601,1,1.0,1,1.0,3,10,16,1,1.0,6,1,1,2,7,3,1,3,3,Version 4,14.4212846755981,5,2,4,2,1,2,2,3,3,1.0,3.0,2.0,4,3,4,3
122,25602,1,1.0,1,1.0,3,10,26,3,1.0,6,1,1,2,7,3,1,2,3,Version 4,6.09486865997314,5,2,4,2,1,4,1,2,2,2.0,3.0,2.0,3,2,2,3
123,25603,1,1.0,1,1.0,1,9,1,1,1.0,6,1,1,2,7,1,1,5,3,Version 4,4.17203569412231,5,2,4,1,1,4,1,1,1,1.0,3.0,1.0,1,1,1,1
124,25604,1,1.0,1,1.0,8,4,10,5,2.0,3,3,3,1,4,1,1,2,3,Version 4,.24126273393631,1,1,4,2,1,2,2,3,3,3.0,2.0,2.0,3,3,3,3
125,25605,2,2.0,2,1.0,7,4,52,5,2.0,1,2,6,3,1,1,1,3,3,Version 4,.742147088050842,2,1,4,1,2,1,1,1,2,5.0,2.0,2.0,1,2,2,2
126,25606,2,2.0,1,3.0,8,4,1,2,2.0,3,3,3,3,3,1,1,2,3,Version 4,.603291809558868,1,1,4,1,2,1,1,2,2,4.0,2.0,2.0,2,2,2,3
128,25608,3,1.0,1,1.0,3,2,13,5,2.0,2,1,1,2,7,1,1,2,3,Version 4,2.20295786857605,1,1,4,2,1,2,2,2,3,4.0,2.0,2.0,2,2,2,3
129,25609,1,1.0,1,1.0,6,11,16,4,1.0,7,3,3,1,4,3,1,2,3,Version 4,.548087954521179,5,2,4,2,1,2,2,2,3,4.0,4.0,2.0,2,3,2,3
130,25610,2,2.0,2,3.0,6,3,46,2,2.0,1,2,6,3,1,1,1,1,2,Version 4,1.54533278942108,2,1,4,1,2,1,1,1,1,4.0,2.0,2.0,2,3,2,3
133,25613,2,2.0,1,,7,12,21,2,1.0,1,2,5,3,1,3,1,1,3,Version 4,.939460873603821,5,2,4,1,2,1,1,1,1,3.0,4.0,2.0,2,1,2,3
134,25614,1,1.0,1,1.0,8,4,36,2,2.0,2,1,1,1,5,1,1,1,1,Version 4,.505077421665192,1,1,4,2,1,2,2,2,3,1.0,1.0,2.0,2,2,2,3
135,25615,1,1.0,1,1.0,3,2,13,5,2.0,2,1,1,2,7,1,1,2,3,Version 4,2.2041437625885,1,1,4,2,1,2,2,2,3,3.0,2.0,2.0,4,2,3,3
136,25616,1,1.0,2,1.0,3,2,24,5,2.0,3,4,4,2,6,1,1,4,3,Version 4,1.81864798069,2,1,4,2,3,5,2,2,2,4.0,2.0,2.0,2,2,3,3
137,25617,1,1.0,2,1.0,3,2,14,2,2.0,3,3,4,2,6,1,1,1,2,Version 4,10.5211801528931,2,1,4,1,1,2,2,1,3,5.0,2.0,2.0,3,3,3,3
138,25618,1,1.0,1,1.0,8,4,9,4,2.0,2,1,1,2,7,1,1,1,1,Version 4,.67559152841568,1,1,4,2,1,2,2,2,2,1.0,1.0,2.0,3,2,2,3
139,25619,1,2.0,2,1.0,8,4,28,5,2.0,3,3,4,1,4,1,1,1,2,Version 4,.216548010706902,2,1,4,3,2,3,2,2,1,3.0,2.0,2.0,1,1,2,3
141,25621,1,1.0,2,1.0,8,4,6,5,2.0,2,1,2,1,5,1,1,2,3,Version 4,.177778646349907,2,1,4,2,2,3,2,2,2,4.0,2.0,2.0,2,2,3,3
142,25622,1,1.0,1,1.0,7,4,17,4,2.0,2,1,1,2,7,1,1,1,1,Version 4,3.62481021881104,1,1,4,2,1,2,2,3,3,4.0,2.0,2.0,5,3,3,3
143,25623,1,1.0,1,1.0,6,3,5,3,2.0,2,1,1,2,7,1,1,2,3,Version 4,3.4136688709259,1,1,4,2,1,2,2,3,3,3.0,2.0,2.0,3,4,3,3
144,25624,1,1.0,1,1.0,8,4,45,5,2.0,2,1,1,2,7,1,1,1,1,Version 4,.586637139320374,1,1,4,2,1,2,2,2,2,5.0,2.0,2.0,2,2,2,3
145,25625,2,2.0,1,1.0,8,4,45,5,2.0,2,1,1,1,5,1,1,1,1,Version 4,1.17327523231506,1,1,4,3,2,3,2,1,2,3.0,2.0,2.0,2,2,2,3
146,25626,1,2.0,2,1.0,6,3,1,5,2.0,1,2,6,1,2,1,1,1,2,Version 4,.866251945495605,2,1,4,2,1,2,2,3,2,3.0,2.0,2.0,3,2,3,3
147,25627,1,1.0,1,1.0,6,3,49,2,2.0,3,3,3,2,6,1,1,1,1,Version 4,2.18464684486389,1,1,4,2,1,2,2,3,3,2.0,1.0,2.0,2,2,3,3
148,25628,2,2.0,2,1.0,8,4,7,2,2.0,1,2,6,3,1,1,1,1,2,Version 4,.533204972743988,2,1,4,1,2,1,1,1,2,3.0,2.0,2.0,1,2,1,3
149,25629,2,2.0,2,1.0,8,4,7,3,2.0,1,2,6,3,1,1,1,1,2,Version 4,.303068578243256,2,1,4,1,2,1,1,1,1,3.0,2.0,2.0,2,1,1,4
150,25630,1,1.0,1,1.0,7,4,30,5,2.0,2,1,1,2,7,1,1,1,1,Version 4,.479490667581558,1,1,4,2,2,1,1,1,3,4.0,2.0,2.0,2,2,2,3
151,25631,2,2.0,2,1.0,6,13,40,4,2.0,8,3,4,1,4,6,1,1,3,Version 4,1.37793791294098,7,2,4,2,3,5,3,1,1,4.0,4.0,2.0,1,1,1,1
153,25633,1,1.0,1,1.0,8,12,33,2,1.0,6,1,1,1,5,3,1,3,3,Version 4,.533453106880188,5,2,4,2,1,2,2,3,2,2.0,3.0,2.0,3,3,3,3
155,25635,1,1.0,1,1.0,8,4,15,2,2.0,2,1,1,1,5,1,1,1,1,Version 4,1.10108375549316,1,1,4,2,1,2,2,2,3,2.0,1.0,2.0,2,2,3,3
157,25637,2,2.0,1,1.0,8,4,24,4,2.0,1,2,5,3,1,1,1,4,3,Version 4,.690514862537384,1,1,4,1,2,1,1,1,2,4.0,2.0,2.0,2,3,2,3
158,25638,1,1.0,2,1.0,8,4,7,5,2.0,2,1,2,2,7,1,1,1,2,Version 4,.509396731853485,2,1,4,2,1,2,2,3,3,4.0,2.0,2.0,3,2,3,3
159,25639,2,2.0,2,,8,4,10,4,2.0,1,2,6,3,1,1,1,2,3,Version 4,.312752962112427,2,1,4,1,2,1,1,1,1,4.0,2.0,2.0,1,1,1,3
162,25642,1,1.0,2,1.0,8,8,15,2,2.0,5,3,4,1,4,2,1,1,3,Version 4,.458348780870438,4,2,4,2,1,2,2,2,3,5.0,4.0,2.0,3,3,3,3
163,25643,1,1.0,2,1.0,8,4,1,5,2.0,3,3,4,1,4,1,1,1,2,Version 4,.243483707308769,2,1,4,2,1,2,2,3,3,3.0,2.0,2.0,1,3,3,3
164,25644,1,1.0,1,1.0,7,13,13,4,2.0,8,1,1,2,7,4,1,2,3,Version 4,1.02242565155029,7,2,4,3,1,2,2,2,2,1.0,3.0,2.0,5,2,2,2
165,25645,2,2.0,2,1.0,8,4,4,4,2.0,3,3,4,3,3,1,1,1,2,Version 4,.417247623205185,2,1,4,2,2,1,1,1,2,4.0,2.0,2.0,2,1,2,3
166,25646,1,1.0,1,1.0,8,4,10,2,2.0,2,1,1,1,5,1,1,2,3,Version 4,.603291809558868,1,1,4,2,1,2,2,1,3,5.0,2.0,2.0,3,3,4,3
167,25647,1,1.0,1,1.0,7,4,2,5,2.0,2,1,1,2,7,1,1,1,1,Version 4,.94065910577774,1,1,4,2,1,2,2,1,3,3.0,2.0,2.0,3,4,4,3
168,25648,1,1.0,1,1.0,8,4,23,5,2.0,3,3,3,2,6,1,1,2,3,Version 4,.288177222013474,1,1,4,2,1,2,2,2,2,4.0,2.0,2.0,3,2,2,2
169,25649,1,1.0,2,1.0,8,4,52,4,2.0,2,1,2,2,7,1,1,3,3,Version 4,.636665523052216,2,1,4,2,1,2,2,2,3,4.0,2.0,2.0,2,4,3,3
171,25651,2,2.0,1,3.0,5,3,10,2,2.0,1,2,5,3,1,1,1,1,1,Version 4,3.99679970741272,1,1,4,1,2,1,1,2,2,3.0,2.0,2.0,2,2,2,2
173,25653,1,1.0,1,1.0,8,12,3,3,1.0,1,2,5,1,2,1,1,2,3,Version 4,1.27195239067078,5,2,4,2,1,2,2,2,3,2.0,3.0,2.0,2,2,4,3
175,25655,1,1.0,1,1.0,8,4,2,4,2.0,3,3,3,2,6,1,1,5,3,Version 4,.643011331558228,1,1,4,2,1,2,2,2,4,1.0,1.0,2.0,4,2,3,3
176,25656,1,1.0,2,1.0,7,4,8,3,2.0,3,4,4,3,3,1,1,1,2,Version 4,.518160164356232,2,1,4,3,1,2,2,3,3,2.0,1.0,2.0,2,3,3,1
178,25658,1,1.0,2,1.0,8,4,36,4,2.0,2,1,2,2,7,1,1,1,2,Version 4,.312752962112427,2,1,4,2,1,2,2,3,3,3.0,2.0,1.0,2,3,3,3
179,25659,1,1.0,1,1.0,6,11,8,4,1.0,6,1,1,1,5,3,1,1,3,Version 4,.654665946960449,5,2,4,2,1,2,2,2,3,4.0,4.0,2.0,2,3,2,3
182,25662,1,1.0,1,1.0,8,13,5,5,2.0,8,1,1,1,5,5,1,2,3,Version 4,1.74487709999084,7,2,4,2,1,2,2,2,3,1.0,3.0,2.0,2,2,4,3
184,25664,2,2.0,2,1.0,8,12,15,2,1.0,7,3,4,3,3,1,1,2,3,Version 4,.924943447113037,6,2,4,1,2,1,1,1,1,1.0,3.0,2.0,1,1,1,1
186,25666,2,2.0,2,3.0,8,4,20,2,2.0,1,2,6,1,2,1,1,2,3,Version 4,1.26856255531311,2,1,4,1,2,1,1,1,1,4.0,2.0,2.0,1,1,1,3
187,25667,2,2.0,1,1.0,5,3,20,2,2.0,1,2,5,3,1,1,1,1,1,Version 4,2.08067035675049,1,1,4,1,2,1,1,1,1,3.0,2.0,2.0,2,2,2,3
188,25668,1,1.0,2,1.0,3,2,3,4,2.0,3,4,4,2,6,1,1,1,2,Version 4,1.25227105617523,2,1,4,2,1,2,2,1,3,3.0,2.0,2.0,3,2,3,3
189,25669,2,2.0,2,,6,3,7,4,2.0,1,2,6,3,1,1,1,1,2,Version 4,1.11269390583038,2,1,4,1,2,1,1,1,2,4.0,2.0,2.0,2,3,2,3
190,25670,2,2.0,2,3.0,8,4,33,4,2.0,1,2,6,3,1,1,1,3,3,Version 4,.310676693916321,2,1,4,1,2,1,1,2,1,3.0,2.0,2.0,1,1,1,1
191,25671,1,1.0,1,1.0,3,10,12,5,1.0,6,1,1,2,7,4,1,3,3,Version 4,2.09379506111145,5,2,4,2,2,3,2,2,3,4.0,4.0,2.0,2,2,2,3
192,25672,2,2.0,1,3.0,3,2,48,4,2.0,1,2,5,3,1,1,1,1,1,Version 4,4.02522802352905,1,1,4,1,2,1,1,1,1,2.0,1.0,2.0,1,1,1,2
193,25673,2,2.0,1,,7,4,45,4,2.0,3,3,3,3,3,1,1,1,1,Version 4,1.12826538085938,1,1,4,1,2,1,1,1,2,4.0,2.0,2.0,1,1,1,3
194,25674,2,2.0,2,1.0,3,10,28,4,1.0,1,2,6,3,1,3,1,1,3,Version 4,1.10730481147766,6,2,4,1,2,1,1,1,1,4.0,4.0,2.0,1,1,2,1
195,25675,1,1.0,1,1.0,6,11,10,3,1.0,7,4,3,3,3,1,1,1,3,Version 4,.67736953496933,5,2,4,2,1,2,2,2,3,3.0,4.0,2.0,4,3,2,3
196,25676,2,2.0,2,1.0,8,13,16,1,2.0,8,3,4,3,3,6,1,1,3,Version 4,1.02255988121033,7,2,4,1,2,3,2,2,2,2.0,3.0,2.0,1,2,2,2
198,25678,2,2.0,1,,3,2,14,4,2.0,3,3,3,1,4,1,1,1,1,Version 4,2.70508623123169,1,1,4,1,2,3,2,2,2,5.0,2.0,2.0,2,2,2,3
199,25679,1,1.0,2,1.0,8,4,42,4,2.0,2,1,2,2,7,1,1,1,2,Version 4,.26183757185936,2,1,4,2,1,2,2,2,3,3.0,2.0,2.0,4,2,3,3
200,25680,2,2.0,2,,8,8,36,4,2.0,1,2,6,3,1,2,1,1,3,Version 4,.23544554412365,4,2,4,1,2,1,1,1,1,3.0,4.0,2.0,2,2,2,3
402,25882,1,,1,,8,4,6,4,,2,1,1,2,7,1,3,5,3,Version 4,.311365723609924,1,1,38,2,1,2,2,2,2,1.0,1.0,2.0,4,2,2,3
403,25883,1,,1,,8,4,1,5,,3,3,3,1,4,1,3,1,1,Version 4,.666779756546021,1,1,38,2,1,2,2,2,3,2.0,1.0,2.0,3,2,4,3
404,25884,2,,1,,1,1,1,5,,1,2,5,3,1,1,3,1,1,Version 4,3.66875624656677,1,1,38,2,2,1,1,2,1,4.0,2.0,2.0,2,2,1,2
406,25886,2,,1,,3,10,3,4,,6,1,1,2,7,3,3,5,3,Version 4,3.23171782493591,5,2,38,1,1,2,2,2,1,1.0,3.0,2.0,2,1,1,1
407,25887,2,,1,,8,4,1,2,,1,2,5,3,1,1,3,4,3,Version 4,.484603732824326,1,1,38,1,2,1,1,2,1,3.0,2.0,2.0,1,4,4,3
408,25888,2,,1,,6,3,1,5,,3,4,3,1,4,1,3,4,3,Version 4,1.71054637432098,1,1,38,1,2,3,2,1,1,4.0,2.0,2.0,1,1,2,3
409,25889,1,,1,,6,7,6,2,,4,1,1,2,7,2,3,1,3,Version 4,3.53358221054077,3,2,38,2,1,2,2,2,2,1.0,3.0,2.0,4,3,3,2
410,25890,1,,2,,6,7,6,5,,4,1,2,3,5,2,3,1,3,Version 4,.253631800413132,4,2,38,2,1,2,2,1,1,4.0,4.0,2.0,3,2,2,3
411,25891,2,,1,,8,8,3,4,,5,3,3,3,3,2,3,5,3,Version 4,.663755416870117,3,2,38,3,2,1,1,2,2,2.0,3.0,2.0,2,2,2,2
412,25892,2,,1,,8,4,3,1,,1,2,5,3,1,1,3,5,3,Version 4,4.16192102432251,1,1,38,2,2,1,1,3,2,2.0,1.0,2.0,2,2,1,2
421,25901,2,,2,,8,4,1,3,,3,3,4,1,4,1,1,4,3,Version 4,.310399085283279,2,1,42,2,1,2,2,2,3,5.0,2.0,2.0,3,3,1,3
423,25903,1,,2,,4,2,2,5,,2,1,2,1,5,1,1,2,3,Version 4,2.34553551673889,2,1,42,2,1,2,2,2,2,3.0,2.0,2.0,2,2,2,3
424,25904,2,,2,,8,4,2,4,,3,3,4,3,3,1,1,2,3,Version 4,.984716713428497,2,1,42,1,2,1,1,1,1,5.0,2.0,2.0,1,1,2,2
425,25905,1,,1,,8,4,4,1,,2,1,1,1,5,1,1,2,3,Version 4,1.48276603221893,1,1,42,2,1,2,2,2,3,1.0,1.0,2.0,2,2,2,4
427,25907,1,,2,,7,4,3,2,,3,3,4,2,6,1,1,2,3,Version 4,2.25399017333984,2,1,42,2,2,3,2,2,3,3.0,2.0,2.0,2,2,2,3
428,25908,2,,2,,3,2,4,3,,1,2,6,3,1,1,1,5,3,Version 4,3.51677107810974,2,1,42,1,2,1,1,1,1,4.0,2.0,2.0,1,1,2,3
429,25909,2,,1,,7,4,2,5,,1,2,5,1,2,1,1,5,3,Version 4,1.4890228509903,1,1,42,1,2,1,1,2,2,4.0,2.0,2.0,1,2,4,3
430,25910,1,,1,,8,4,2,5,,2,1,1,2,7,1,1,5,3,Version 4,.34677991271019,1,1,42,2,1,2,2,2,3,3.0,2.0,2.0,3,2,2,3
431,25911,1,,2,,8,4,2,2,,3,3,4,1,4,1,1,2,3,Version 4,1.53259456157684,2,1,42,2,1,2,2,2,3,3.0,2.0,2.0,2,3,2,3
432,25912,1,,2,,6,3,2,4,,3,3,4,1,4,1,1,1,2,Version 4,1.73049771785736,2,1,42,1,1,4,1,2,2,4.0,2.0,2.0,2,2,2,3
433,25913,1,,2,,6,3,2,5,,2,1,2,2,7,1,1,1,2,Version 4,1.41720378398895,2,1,42,2,1,2,2,2,3,4.0,2.0,2.0,2,2,2,3
435,25915,2,,1,,8,4,4,3,,3,3,3,3,3,1,1,2,3,Version 4,.389694690704346,1,1,42,1,2,1,1,1,1,2.0,1.0,2.0,1,1,4,3
437,25917,2,,1,,8,4,4,2,,1,2,5,3,1,1,1,1,1,Version 4,1.92411637306213,1,1,42,1,2,1,1,1,1,4.0,2.0,2.0,1,1,2,3
438,25918,2,,1,,4,2,4,4,,1,2,5,3,1,1,1,1,1,Version 4,1.23157858848572,1,1,42,2,2,1,1,2,2,3.0,2.0,2.0,2,3,1,3
439,25919,2,,2,,6,3,4,3,,1,2,6,1,2,1,1,1,2,Version 4,1.59258580207825,2,1,42,2,2,1,1,2,2,4.0,2.0,2.0,2,1,1,3
440,25920,2,,1,,8,4,4,4,,3,4,3,3,3,1,1,2,3,Version 4,1.23627579212189,1,1,42,1,2,3,2,1,1,1.0,1.0,2.0,2,2,1,3
441,25921,2,,1,,8,4,2,4,,1,2,5,3,1,1,1,1,1,Version 4,1.23627579212189,1,1,42,3,2,1,1,2,2,3.0,2.0,2.0,2,2,1,3
483,25963,2,,2,,6,3,4,2,,3,4,4,3,3,1,3,1,2,Version 4,1.75343811511993,2,1,15,1,2,1,1,1,2,5.0,2.0,2.0,1,1,1,3
484,25964,1,,2,,8,4,1,2,,3,3,4,2,6,1,3,5,3,Version 4,.997770667076111,2,1,15,2,1,2,2,2,3,3.0,2.0,2.0,3,3,3,3
486,25966,1,,1,,8,8,3,1,,4,1,1,2,7,2,3,3,3,Version 4,3.0635461807251,3,2,15,2,1,2,2,3,3,2.0,3.0,2.0,4,2,1,3
506,25986,1,,1,,7,4,9,5,2.0,2,1,1,1,5,1,4,1,1,Version 4,.623965263366699,1,1,28,2,1,2,2,2,3,2.0,1.0,2.0,2,2,3,3
509,25989,1,,1,,6,3,3,5,2.0,3,3,3,1,4,1,4,2,3,Version 4,1.4911642074585,1,1,28,2,3,5,2,2,3,5.0,2.0,2.0,2,2,4,3
512,25992,1,,1,,8,4,6,2,2.0,3,3,3,1,4,1,4,1,1,Version 4,.806288421154022,1,1,28,1,1,5,3,2,2,2.0,1.0,2.0,2,2,2,3
541,26021,2,,2,,6,3,5,4,,1,2,6,3,1,1,3,2,3,Version 4,1.90239894390106,2,1,31,1,2,1,1,1,1,5.0,2.0,2.0,1,1,2,2
543,26023,1,,2,,8,4,2,2,,2,1,2,3,5,1,3,1,2,Version 4,.577078819274902,2,1,31,2,1,4,1,2,2,3.0,2.0,2.0,3,2,2,3
545,26025,3,,1,,3,2,8,2,,3,3,3,1,4,1,3,1,1,Version 4,2.73616051673889,1,1,31,2,2,3,2,2,2,2.0,1.0,2.0,2,1,3,3
546,26026,1,,2,,2,1,12,5,,3,3,4,1,4,1,3,2,3,Version 4,3.97235083580017,2,1,31,2,2,3,2,2,2,5.0,2.0,2.0,2,1,2,3
548,26028,1,,2,,7,4,7,4,,3,3,4,2,6,1,3,2,3,Version 4,1.59208619594574,2,1,31,2,1,2,2,2,3,4.0,2.0,2.0,2,2,3,3
549,26029,2,,1,,6,3,13,5,,1,2,5,3,1,1,3,2,3,Version 4,1.95599114894867,1,1,31,1,2,3,2,1,1,5.0,2.0,2.0,1,2,2,3
551,26031,1,,1,,8,4,4,3,,2,1,1,2,7,1,3,2,3,Version 4,.428405493497849,1,1,31,2,1,2,2,2,3,3.0,2.0,2.0,3,1,3,3
552,26032,1,,2,,7,8,1,4,,4,1,2,1,5,2,3,5,3,Version 4,1.1854944229126,4,2,31,3,1,2,2,1,3,1.0,3.0,2.0,5,2,4,1
554,26034,2,,1,,8,4,8,4,,1,2,5,3,1,1,3,5,3,Version 4,.46550378203392,1,1,31,1,2,1,1,1,1,3.0,2.0,2.0,1,1,1,3
555,26035,1,,1,,8,4,12,4,,3,3,3,3,3,1,3,3,3,Version 4,.23275189101696,1,1,31,2,2,1,1,2,2,3.0,2.0,2.0,2,2,2,3
557,26037,1,,2,,8,4,9,5,,3,3,4,1,4,1,3,3,3,Version 4,.607309997081757,2,1,31,2,1,2,2,2,2,3.0,2.0,2.0,2,3,3,3
559,26039,1,,2,,8,8,4,3,,4,1,2,2,7,2,3,2,3,Version 4,.370916873216629,4,2,31,2,1,2,2,3,2,2.0,3.0,2.0,3,3,2,3
560,26040,2,,2,,8,4,7,1,,1,2,6,1,2,1,3,2,3,Version 4,3.79072117805481,2,1,31,1,2,1,1,1,1,2.0,1.0,2.0,1,1,1,3
561,26041,2,,1,,8,4,7,2,,1,2,5,3,1,1,3,2,3,Version 4,.724501371383667,1,1,31,2,2,1,1,1,1,2.0,1.0,2.0,2,1,1,3
563,26043,1,,1,,8,4,7,4,,3,4,3,2,6,1,3,1,1,Version 4,.23275189101696,1,1,31,2,1,2,2,2,3,2.0,1.0,2.0,4,2,2,3
565,26045,1,,1,,8,4,5,5,,2,1,1,2,7,1,3,5,3,Version 4,.762455463409424,1,1,31,2,1,2,2,3,3,5.0,2.0,2.0,3,2,3,3
566,26046,2,,1,,8,4,10,5,,1,2,5,1,2,1,3,1,1,Version 4,.381227731704712,1,1,31,1,2,1,1,2,1,4.0,2.0,2.0,1,1,1,3
567,26047,1,,1,,6,3,9,4,,3,3,3,2,6,1,3,1,1,Version 4,1.63611173629761,1,1,31,2,1,2,2,2,3,2.0,1.0,2.0,2,3,3,3
568,26048,1,,1,,1,1,5,2,,2,1,1,2,7,1,3,1,1,Version 4,7.97270345687866,1,1,31,2,1,2,2,3,3,3.0,2.0,1.0,3,1,2,3
569,26049,2,,2,,8,4,11,5,,1,2,6,3,1,1,3,4,3,Version 4,.886549711227417,2,1,31,1,2,1,1,1,1,2.0,1.0,2.0,2,1,1,3
570,26050,3,,1,,8,4,10,3,,2,1,1,1,5,1,3,1,1,Version 4,.327668517827988,1,1,31,2,3,5,3,2,3,3.0,2.0,2.0,2,2,2,4
571,26051,2,,2,,8,4,5,1,,1,2,6,3,1,1,3,5,3,Version 4,2.59674406051636,2,1,31,1,2,1,1,1,1,2.0,1.0,2.0,1,1,1,3
573,26053,1,,1,,3,6,8,2,,4,1,1,1,5,2,3,5,3,Version 4,2.97417974472046,3,2,31,2,1,2,2,3,2,1.0,3.0,2.0,4,2,2,3
574,26054,1,,1,,6,3,9,3,,1,2,5,3,1,1,3,1,1,Version 4,2.19804954528809,1,1,31,1,2,1,1,1,2,4.0,2.0,2.0,1,1,1,1
575,26055,1,,1,,8,8,1,1,,4,1,1,2,7,2,3,2,3,Version 4,.885928869247437,3,2,31,1,1,2,2,2,3,1.0,3.0,2.0,3,2,2,2
576,26056,1,,2,,6,3,5,5,,2,1,2,2,7,1,3,1,2,Version 4,.533629894256592,2,1,31,2,1,2,2,2,3,5.0,2.0,2.0,2,1,3,3
577,26057,1,,2,,8,4,4,4,,2,1,2,2,7,1,3,2,3,Version 4,.370782464742661,2,1,31,2,1,2,2,2,2,5.0,2.0,2.0,5,2,4,3
579,26059,1,,1,,8,4,11,4,,2,1,1,1,5,1,3,5,3,Version 4,.46550378203392,1,1,31,2,1,2,2,2,3,3.0,2.0,2.0,2,2,2,3
580,26060,1,,2,,4,2,3,4,,1,2,6,1,2,1,3,5,3,Version 4,1.0784215927124,2,1,31,2,1,2,2,2,3,4.0,2.0,2.0,2,2,3,3
581,26061,2,,2,,6,3,9,4,,1,2,6,3,1,1,3,1,2,Version 4,.651596784591675,2,1,31,1,2,1,1,2,2,4.0,2.0,2.0,2,1,1,3
582,26062,2,,2,,4,2,5,5,,3,3,4,3,3,1,3,1,2,Version 4,2.57853221893311,2,1,31,1,2,1,1,1,2,5.0,2.0,1.0,1,1,1,3
584,26064,2,,2,,8,4,7,2,,2,1,2,2,7,1,3,5,3,Version 4,.865618228912354,2,1,31,1,2,1,1,1,3,5.0,2.0,2.0,4,2,1,2
613,26094,1,,1,,6,3,5,2,,2,1,1,2,7,1,1,1,1,Version 4,.669524490833282,1,1,5,2,1,2,2,3,3,1.0,1.0,2.0,2,2,3,3
614,26095,1,,2,,8,4,5,5,,2,1,2,1,5,1,1,1,2,Version 4,.455784291028976,2,1,5,2,1,2,2,2,3,3.0,2.0,2.0,2,2,2,3
617,26098,2,,2,,7,12,4,3,,1,2,6,3,1,3,1,1,3,Version 4,1.05560922622681,6,2,5,1,2,1,1,1,2,4.0,4.0,2.0,2,2,2,3
