,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
214,25694,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,2,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 1,1.37195527553558,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
215,25695,The Republican candidate,The Republican candidate,Male,The Democratic candidate,50-59,White 45-59,9,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 1,.36261385679245,White men,White,California,Yes,Support,Strongly approve,Donald Trump,No difference,The Republican Party,No,No,Overturn it
216,25696,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,White 18-29,3,Attended college but received no degree,No,White Independent,Something else,Independent Women,Moderate,Moderate Independents,White,West,"Cities 50,000-500,000",Other,Version 1,3.45989918708801,White women,White,California,Omit,Oppose,Strongly disapprove,Didn't vote,The U.S. less safe,Omit,No,Yes,Keep it as is
217,25697,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,27,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,West,Suburbs,Other,Version 1,2.84961128234863,Latino women,Non-white,California,No,Omit,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
218,25698,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,18-24,Latino 18-29,22,Attended college but received no degree,Yes,Latino Independent,Independent,Independent Men,Liberal,Liberal Independents,Hispanic/Latino,West,Suburbs,Other,Version 1,1.27093005180359,Latino men,Non-white,California,No,Oppose,Somewhat disapprove,Didn't vote,The U.S. less safe,The Democratic Party,No,Yes,Keep it as is
219,25699,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,Latino 30-44,25,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Hispanic/Latino,West,Suburbs,Other,Version 1,.651287138462067,Latino men,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
221,25701,The Democratic candidate,The Democratic candidate,Female,,40-44,All others,33,Bachelor's degree (BA or BS),No,All Other,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Asian,West,"Cities over 500,000",Other,Version 1,7.72204494476318,All other races,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
222,25702,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,Black 60+,13,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Black,West,Suburbs,Other,Version 1,1.42932629585266,Black men,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
223,25703,The Democratic candidate,The Democratic candidate,Female,,45-49,Latino 45-59,47,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Hispanic/Latino,West,Suburbs,Other,Version 1,1.03168439865112,Latino women,Non-white,California,Yes,Omit,Somewhat disapprove,Hillary Clinton,No difference,The Democratic Party,No,No,Keep it as is
224,25704,The Republican candidate,The Democratic candidate,Male,,30-39,White 30-44,11,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,West,Suburbs,White suburban men,Version 1,2.12534427642822,White men,White,California,Yes,Omit,Strongly disapprove,Other,The U.S. less safe,The Democratic Party,No,No,Keep it as is
225,25705,The Republican candidate,The Republican candidate,Male,Other,50-59,Latino 45-59,23,Never attended college,Yes,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,"Cities 50,000-500,000",Other,Version 1,2.29305219650269,Latino men,Non-white,California,Yes,Support,Strongly approve,Didn't vote,The U.S. more safe,The Republican Party,Yes,Yes,Omit
226,25706,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,All others,40,Attended college but received no degree,No,All Other,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,American Indian,West,Suburbs,Other,Version 1,1.880166888237,All other races,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,Yes,No,Keep it as is
228,25708,The Republican candidate,,Male,,25-29,All others,39,Bachelor's degree (BA or BS),No,All Other,Independent,Independent Men,Moderate,Moderate Independents,Asian,West,Suburbs,Other,Version 1,9.7637357711792,All other races,Non-white,California,No,Oppose,Somewhat disapprove,Other,The U.S. less safe,Omit,No,No,Keep it as is
229,25709,Other,,Male,The Democratic candidate,60-64,White 60+,7,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 1,.911627113819122,White men,White,California,No,Oppose,Strongly disapprove,Other,No difference,The Democratic Party,No,No,Overturn it
230,25710,The Republican candidate,The Republican candidate,Male,,50-59,Black 45-59,30,Bachelor's degree (BA or BS),No,Black Independent,Something else,Independent Men,Conservative,Conservative Independents,Black,West,Suburbs,Other,Version 1,.444926381111145,Black men,Non-white,California,Yes,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,Yes,No,Overturn it
231,25711,The Republican candidate,The Republican candidate,Female,Other,50-59,White 45-59,23,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 1,1.07809102535248,White women,White,California,No,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Overturn it
232,25712,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,11,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,Suburbs,White suburban men,Version 1,5.02570199966431,White men,White,California,Yes,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
233,25713,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,5,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 1,1.64865791797638,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
235,25715,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,4,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Rural,Other,Version 1,.685810983181,White women,White,California,Yes,Support,Somewhat approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Keep it as is
236,25716,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 1,.486967802047729,White men,White,California,Yes,Support,Somewhat approve,Donald Trump,The U.S. more safe,The Republican Party,Yes,No,Overturn it
237,25717,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,4,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Rural,Other,Version 1,.662019610404968,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
238,25718,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,36,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 1,1.01945471763611,White men,White,California,No,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,Yes,No,Omit
239,25719,The Republican candidate,The Republican candidate,Female,Other,60-64,Latino 60+,22,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,"Cities 50,000-500,000",Other,Version 1,2.1452317237854,Latino women,Non-white,California,Yes,Support,Somewhat approve,Donald Trump,No difference,The Republican Party,No,No,Overturn it
240,25720,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,30,Never attended college,No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,Suburbs,White suburban men,Version 1,1.10174059867859,White men,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,Yes,No,Keep it as is
241,25721,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,19,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 1,1.65491056442261,White men,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
242,25722,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,49,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,West,"Cities 50,000-500,000",Other,Version 1,1.17957234382629,White men,White,California,No,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,Yes,No,Keep it as is
243,25723,The Republican candidate,The Republican candidate,Male,,65 or over,All others,38,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,Asian,West,Suburbs,Other,Version 1,.735248386859894,All other races,Non-white,California,Omit,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Overturn it
244,25724,The Republican candidate,The Republican candidate,Female,The Democratic candidate,50-59,White 45-59,42,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 1,.512629568576813,White women,White,California,Yes,Omit,Strongly disapprove,Other,The U.S. less safe,The Democratic Party,No,No,Keep it as is
246,25726,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,36,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 1,.625506401062012,White men,White,California,No,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,Yes,No,Keep it as is
247,25727,The Democratic candidate,,Female,,30-39,Latino 30-44,34,Bachelor's degree (BA or BS),Yes,Latino Independent,Independent,Independent Women,Moderate,Moderate Independents,Hispanic/Latino,West,"Cities over 500,000",Other,Version 1,3.13081026077271,Latino women,Non-white,California,No,Oppose,Strongly disapprove,Other,The U.S. less safe,The Democratic Party,No,Yes,Keep it as is
248,25728,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,11,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,West,Suburbs,White suburban women,Version 1,1.35118401050568,White women,White,California,Omit,Omit,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
249,25729,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,All others,50,Attended college but received no degree,No,All Other,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Asian,West,Suburbs,Other,Version 1,5.99121332168579,All other races,Non-white,California,Yes,Oppose,Somewhat approve,Didn't vote,The U.S. less safe,The Democratic Party,No,No,Keep it as is
250,25730,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,3,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 1,3.23689413070679,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
251,25731,The Republican candidate,The Republican candidate,Female,,65 or over,White 60+,23,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 1,1.80987620353699,White women,White,California,Omit,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Overturn it
252,25732,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,2,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 1,1.14162838459015,White men,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
253,25733,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,48,Never attended college,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban men,Version 1,6.29604864120483,White men,White,California,No,Support,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
254,25734,The Republican candidate,The Republican candidate,Female,Other,40-44,All others,50,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Independent,Independent Women,Moderate,Moderate Independents,Asian,West,Suburbs,Other,Version 1,15.7706575393677,All other races,Non-white,California,Yes,Support,Strongly approve,Hillary Clinton,The U.S. more safe,The Republican Party,No,Yes,Omit
255,25735,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Black 60+,14,Bachelor's degree (BA or BS),No,Black Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Black,West,Suburbs,Other,Version 1,.612591862678528,Black men,Non-white,California,Yes,Oppose,Somewhat disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,Yes,No,Keep it as is
256,25736,The Republican candidate,The Republican candidate,Female,The Democratic candidate,60-64,White 60+,5,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban women,Version 1,1.93727004528046,White women,White,California,Yes,Support,Somewhat approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Keep it as is
257,25737,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,Latino 45-59,7,Never attended college,Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,Other,Version 1,3.09479355812073,Latino women,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,No difference,The Democratic Party,No,No,Keep it as is
258,25738,The Republican candidate,The Republican candidate,Male,Other,65 or over,White 60+,49,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 1,.518485188484192,White men,White,California,No,Support,Somewhat approve,Donald Trump,The U.S. less safe,The Republican Party,Yes,No,Keep it as is
259,25739,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,7,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 1,.342905282974243,White women,White,California,No,Support,Somewhat disapprove,Donald Trump,The U.S. more safe,The Republican Party,No,No,Keep it as is
260,25740,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,West,Rural,Other,Version 1,3.24931406974792,White men,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
261,25741,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,14,Attended college but received no degree,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,West,Suburbs,White suburban women,Version 1,.768552422523499,White women,White,California,No,Oppose,Strongly disapprove,Other,The U.S. less safe,The Democratic Party,No,No,Keep it as is
262,25742,The Republican candidate,The Republican candidate,Male,The Democratic candidate,40-44,White 30-44,4,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 1,1.84179294109344,White men,White,California,Omit,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,Yes,No,Keep it as is
263,25743,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,23,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 1,.509727001190186,White men,White,California,Yes,Support,Somewhat approve,Hillary Clinton,The U.S. less safe,The Republican Party,Yes,No,Overturn it
264,25744,The Democratic candidate,The Republican candidate,Male,,65 or over,White 60+,7,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 1,.509727001190186,White men,White,California,Yes,Support,Somewhat approve,Donald Trump,No difference,The Republican Party,No,No,Keep it as is
265,25745,The Republican candidate,The Republican candidate,Male,Other,65 or over,White 60+,51,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 1,5.04353809356689,White men,White,California,Yes,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Keep it as is
266,25746,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,49,Never attended college,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 1,4.72035789489746,White men,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
267,25747,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,All others,18,Attended college but received no degree,No,All Other,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Asian,West,"Cities over 500,000",Other,Version 1,15.9420204162598,All other races,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
268,25748,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,11,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 1,.52595990896225,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
270,25750,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,All others,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Independent,Independent Women,Moderate,Moderate Independents,Asian,West,Suburbs,Other,Version 1,1.66389918327332,All other races,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
271,25751,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,13,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 1,1.11930072307587,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
272,25752,The Democratic candidate,The Democratic candidate,Male,,65 or over,White 60+,36,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,White,West,Suburbs,White suburban men,Version 1,.243483707308769,White men,White,California,Omit,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
273,25753,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Latino 60+,47,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,American Indian,West,"Cities 50,000-500,000",Other,Version 1,.215297371149063,Latino men,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,Yes,No,Keep it as is
275,25755,The Republican candidate,The Republican candidate,Female,,65 or over,Latino 60+,22,Attended college but received no degree,Yes,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,Hispanic/Latino,West,Suburbs,Other,Version 1,.599807620048523,Latino women,Non-white,California,No,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Overturn it
276,25756,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,21,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 1,.342905282974243,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
277,25757,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,42,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 1,.243483707308769,White men,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,Yes,No,Keep it as is
278,25758,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,All others,18,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Independent,Independent Women,Moderate,Moderate Independents,Other,West,Suburbs,Other,Version 1,.310651749372482,All other races,Non-white,California,Yes,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Keep it as is
279,25759,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,49,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 1,.495655357837677,White men,White,California,Yes,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Overturn it
280,25760,The Democratic candidate,The Democratic candidate,Female,,60-64,White 60+,1,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Rural,Other,Version 1,1.07896411418915,White women,White,California,No,Oppose,Somewhat disapprove,Donald Trump,The U.S. less safe,The Democratic Party,No,Yes,Omit
281,25761,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,53,Attended college but received no degree,No,White Independent,Something else,Independent Women,Moderate,Moderate Independents,White,West,"Cities over 500,000",Other,Version 1,1.22811007499695,White women,White,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
282,25762,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,30,Never attended college,No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,Suburbs,White suburban women,Version 1,3.91192579269409,White women,White,California,Yes,Support,Strongly approve,Donald Trump,The U.S. more safe,The Republican Party,No,No,Keep it as is
