,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
119,25599,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,48,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 4,.493770092725754,White men,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Helped,No impact,Becoming more divided
120,25600,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,30,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Hispanic/Latino,West,Suburbs,Other,Version 4,1.06728899478912,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and non white",No,Not so good,Hurt,No impact,Becoming more divided
121,25601,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,16,Never attended college,Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,West,"Cities over 500,000",Other,Version 4,14.4212846755981,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Poor,Hurt,Omit,Becoming more divided
122,25602,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,26,Associate's degree (AA or AS),Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,West,"Cities 50,000-500,000",Other,Version 4,6.09486865997314,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and non white",No,Not so good,No impact,No impact,Becoming more divided
123,25603,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Latino 18-29,1,Never attended college,Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Rural,Other,Version 4,4.17203569412231,Latino women,Non-white,California,Generally going in the right direction,Favorable,Both parties,Favorable,Better,To express support for Donald Trump,"Under $30,000","Under $50,000 and non white",Yes,Excellent,Helped,Helped,Becoming more united
124,25604,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,10,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,West,"Cities 50,000-500,000",Other,Version 4,.24126273393631,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
125,25605,The Republican candidate,The Republican candidate,Male,The Democratic candidate,60-64,White 60+,52,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,"Cities over 500,000",Other,Version 4,.742147088050842,White men,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Excellent,No impact,No impact,Staying about the same
126,25606,The Republican candidate,The Republican candidate,Female,Other,65 or over,White 60+,1,Attended college but received no degree,No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,West,"Cities 50,000-500,000",Other,Version 4,.603291809558868,White women,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
128,25608,Other,The Democratic candidate,Female,The Democratic candidate,30-39,White 30-44,13,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 4,2.20295786857605,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
129,25609,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,Latino 45-59,16,Bachelor's degree (BA or BS),Yes,Latino Independent,Independent,Independent Women,Moderate,Moderate Independents,Hispanic/Latino,West,"Cities 50,000-500,000",Other,Version 4,.548087954521179,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Good,Hurt,No impact,Becoming more divided
130,25610,The Republican candidate,The Republican candidate,Male,Other,50-59,White 45-59,46,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 4,1.54533278942108,White men,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Hurt,No impact,Becoming more divided
133,25613,The Republican candidate,The Republican candidate,Female,,60-64,Latino 60+,21,Attended college but received no degree,Yes,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,Hispanic/Latino,West,Suburbs,Other,Version 4,.939460873603821,Latino women,Non-white,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Good,Helped,No impact,Becoming more divided
134,25614,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,36,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban women,Version 4,.505077421665192,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
135,25615,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,White 30-44,13,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 4,2.2041437625885,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Poor,No impact,Hurt,Becoming more divided
136,25616,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,24,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Something else,Independent Men,Liberal,Liberal Independents,White,West,"Cities 10,000-50,000",Other,Version 4,1.81864798069,White men,White,California,Seriously off on the wrong track,Omit,Omit,Unfavorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
137,25617,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,14,Attended college but received no degree,No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,West,Suburbs,White suburban men,Version 4,10.5211801528931,White men,White,California,Generally going in the right direction,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
138,25618,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,9,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 4,.67559152841568,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Not so good,No impact,No impact,Becoming more divided
139,25619,The Democratic candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,28,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,Suburbs,White suburban men,Version 4,.216548010706902,White men,White,California,Omit,Unfavorable,Neither party,Unfavorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Helped,No impact,Becoming more divided
141,25621,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,6,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 4,.177778646349907,White men,White,California,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
142,25622,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,17,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 4,3.62481021881104,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Omit,Hurt,Hurt,Becoming more divided
143,25623,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,5,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 4,3.4136688709259,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Omit,Hurt,Becoming more divided
144,25624,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,45,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 4,.586637139320374,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
145,25625,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,45,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban women,Version 4,1.17327523231506,White women,White,California,Omit,Unfavorable,Neither party,Unfavorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
146,25626,The Democratic candidate,The Republican candidate,Male,The Democratic candidate,50-59,White 45-59,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,West,Suburbs,White suburban men,Version 4,.866251945495605,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,Hurt,Becoming more divided
147,25627,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,49,Attended college but received no degree,No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,West,Suburbs,White suburban women,Version 4,2.18464684486389,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
148,25628,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,7,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 4,.533204972743988,White men,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Excellent,No impact,Helped,Becoming more divided
149,25629,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,7,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 4,.303068578243256,White men,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Helped,Omit
150,25630,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,30,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 4,.479490667581558,White women,White,California,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
151,25631,The Republican candidate,The Republican candidate,Male,The Democratic candidate,50-59,All others,40,Bachelor's degree (BA or BS),No,All Other,Independent,Independent Men,Moderate,Moderate Independents,American Indian,West,Suburbs,Other,Version 4,1.37793791294098,All other races,Non-white,California,Seriously off on the wrong track,Omit,Omit,Omit,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Excellent,Helped,Helped,Becoming more united
153,25633,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,Latino 60+,33,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Hispanic/Latino,West,"Cities over 500,000",Other,Version 4,.533453106880188,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and non white",No,Not so good,Hurt,Hurt,Becoming more divided
155,25635,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,15,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban women,Version 4,1.10108375549316,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
157,25637,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,24,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,"Cities 10,000-50,000",Other,Version 4,.690514862537384,White women,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,Hurt,No impact,Becoming more divided
158,25638,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 4,.509396731853485,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Not so good,No impact,Hurt,Becoming more divided
159,25639,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,10,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,"Cities 50,000-500,000",Other,Version 4,.312752962112427,White men,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
162,25642,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Black 60+,15,Attended college but received no degree,No,Black Independent,Independent,Independent Men,Moderate,Moderate Independents,Black,West,Suburbs,Other,Version 4,.458348780870438,Black men,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and non white",No,Not so good,Hurt,Hurt,Becoming more divided
163,25643,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,Suburbs,White suburban men,Version 4,.243483707308769,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Hurt,Hurt,Becoming more divided
164,25644,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,All others,13,Bachelor's degree (BA or BS),No,All Other,Democrat,Democratic Women,Liberal,Liberal Democrats,Other,West,"Cities 50,000-500,000",Other,Version 4,1.02242565155029,All other races,Non-white,California,Omit,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and non white",No,Omit,No impact,No impact,Staying about the same
165,25645,The Republican candidate,The Republican candidate,Male,The Democratic candidate,65 or over,White 60+,4,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 4,.417247623205185,White men,White,California,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,Helped,No impact,Becoming more divided
166,25646,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,10,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 4,.603291809558868,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and white",No,Not so good,Hurt,Omit,Becoming more divided
167,25647,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 4,.94065910577774,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Omit,Omit,Becoming more divided
168,25648,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,23,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,West,"Cities 50,000-500,000",Other,Version 4,.288177222013474,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Not so good,No impact,No impact,Staying about the same
169,25649,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,52,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 4,.636665523052216,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Omit,Hurt,Becoming more divided
171,25651,The Republican candidate,The Republican candidate,Female,Other,45-49,White 45-59,10,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,West,Suburbs,White suburban women,Version 4,3.99679970741272,White women,White,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Staying about the same
173,25653,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,Latino 60+,3,Associate's degree (AA or AS),Yes,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,West,"Cities 50,000-500,000",Other,Version 4,1.27195239067078,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and non white",No,Good,No impact,Omit,Becoming more divided
175,25655,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,West,Rural,Other,Version 4,.643011331558228,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Omit,"Under $30,000","Under $50,000 and white",No,Poor,No impact,Hurt,Becoming more divided
176,25656,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,8,Associate's degree (AA or AS),No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 4,.518160164356232,White men,White,California,Omit,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Hurt,Hurt,Becoming more united
